=====================  =======================  ============================  ====================
Baro_Pressure [KPa]    Temperature [Celsius]    Acceleration [m/s^2]          Magnetic_Field [T]
=====================  =======================  ============================  ====================
76.5020                15.0400                  [0. 0. 0.]                    [0. 0. 0.]
98.5006                13.4337                  [  0.1958  -0.0396 187.3569]  [0. 0. 0.]
98.4648                13.4138                  [ -0.9049   0.4918 187.3182]  [0. 0. 0.]
98.4289                13.3938                  [ -0.8761   1.6845 187.2757]  [0. 0. 0.]
98.3927                13.3736                  [  0.1791   2.171  187.2368]  [0. 0. 0.]
98.3564                13.3534                  [  1.0774   1.4843 187.2043]  [0. 0. 0.]
98.3198                13.3330                  [  0.9286   0.3936 187.1739]  [0. 0. 0.]
98.2830                13.3125                  [ -0.0527  -0.0375 187.1396]  [0. 0. 0.]
98.2461                13.2918                  [ -0.9275   0.5291 187.0995]  [0. 0. 0.]
98.2089                13.2711                  [ -0.9674   1.5392 187.0568]  [0. 0. 0.]
98.1715                13.2502                  [ -0.2091   2.1574 187.0161]  [0. 0. 0.]
98.1339                13.2292                  [  0.7154   1.9586 186.9797]  [0. 0. 0.]
98.0960                13.2081                  [  1.1484   1.1538 186.9465]  [0. 0. 0.]
98.0580                13.1868                  [  0.854    0.3216 186.9133]  [0. 0. 0.]
98.0198                13.1655                  [  0.0796  -0.0335 186.8772]  [0. 0. 0.]
97.9814                13.1440                  [ -0.6941   0.239  186.8375]  [0. 0. 0.]
97.9427                13.1224                  [ -1.0685   0.9319 186.7952]  [0. 0. 0.]
97.9039                13.1007                  [ -0.9111   1.6692 186.7525]  [0. 0. 0.]
97.8648                13.0788                  [ -0.3537   2.1248 186.7111]  [0. 0. 0.]
97.8256                13.0569                  [  0.3317   2.1524 186.672 ]  [0. 0. 0.]
97.7861                13.0348                  [  0.8797   1.7984 186.6348]  [0. 0. 0.]
97.7464                13.0126                  [  1.1292   1.2315 186.5986]  [0. 0. 0.]
97.7066                12.9902                  [  1.0497   0.6504 186.5623]  [0. 0. 0.]
97.6665                12.9678                  [  0.7127   0.2112 186.525 ]  [0. 0. 0.]
97.6262                12.9452                  [  0.2397  -0.0058 186.4863]  [0. 0. 0.]
97.5857                12.9225                  [ -0.2469   0.0059 186.4461]  [0. 0. 0.]
97.5450                12.8997                  [ -0.6552   0.2013 186.4047]  [0. 0. 0.]
97.5042                12.8768                  [ -0.935    0.512  186.3625]  [0. 0. 0.]
